epoch,train_loss,val_loss,train_accuracy,val_accuracy,reconstruction_loss,classification_loss,mmd_loss,wasserstein_loss,learning_rate,epoch_time,high_quality_regions,average_latent_score
1,1.6331199407577515,2.9560844898223877,0.9385409355163574,0.9324883222579956,2.410374402999878,0.35548967123031616,0.039281319826841354,1.1989312171936035,0.0001998230000026524,204.55125260353088,1000,0.8404325
2,1.287063717842102,3.0447335243225098,0.9582453966140747,0.9504674673080444,2.2578492164611816,0.28643304109573364,0.010213043540716171,0.3756667971611023,0.00019929150585085154,199.20480918884277,1000,0.85582995
3,1.2333998680114746,2.981689453125,0.9623895287513733,0.9510068297386169,2.2222304344177246,0.2794157862663269,0.006774678826332092,0.2508816421031952,0.0001984076079679653,198.7420301437378,1000,0.8633075
4,1.21894371509552,2.9712321758270264,0.9659342765808105,0.9539734125137329,2.1887283325195312,0.27204084396362305,0.006993168033659458,0.2758570611476898,0.00019717482791747898,199.20495772361755,1000,0.86802995
5,1.1962013244628906,2.869981527328491,0.9689316153526306,0.9529845118522644,2.1576919555664062,0.2668631076812744,0.006052788347005844,0.25657185912132263,0.00019559799693524837,198.80015873908997,1000,0.8713
6,1.1653207540512085,2.6527655124664307,0.9716423153877258,0.9566702842712402,2.1301465034484863,0.26089954376220703,0.004683325532823801,0.20289379358291626,0.00019368334324099123,198.84820199012756,1000,0.873725
7,1.137445330619812,1.926414966583252,0.9740923047065735,0.9531643390655518,2.109173059463501,0.2571507394313812,0.0033206483349204063,0.14185211062431335,0.00019143844838254154,200.4332892894745,1000,0.875605
8,1.1228656768798828,1.7457338571548462,0.9760210514068604,0.9564005732536316,2.09297513961792,0.2548997104167938,0.002802742412313819,0.11917873471975327,0.00018887213082052767,199.28624367713928,1000,0.87712
9,1.1095973253250122,1.7193934917449951,0.9777151942253113,0.9593671560287476,2.0773191452026367,0.2500901520252228,0.0025834168773144484,0.11070166528224945,0.00018599454779177904,199.15274572372437,1000,0.87859255
10,1.099317193031311,1.6349071264266968,0.978705644607544,0.957299530506134,2.061776638031006,0.24824121594429016,0.0024026078172028065,0.10209779441356659,0.00018281707889400423,203.27052330970764,1000,0.87977505
11,1.0817707777023315,1.614181637763977,0.9811556935310364,0.9572096467018127,2.041826009750366,0.24461133778095245,0.001897119451314211,0.07906223088502884,0.00017935219511855394,207.8100597858429,1000,0.88075256
12,1.0756524801254272,1.5661990642547607,0.9811817407608032,0.958378255367279,2.021240234375,0.24327205121517181,0.002129829954355955,0.09255276620388031,0.00017561361892148852,210.05410194396973,1000,0.8815601
13,1.0594054460525513,1.5080451965332031,0.9827195405960083,0.9601761698722839,2.003201961517334,0.2415304034948349,0.0017931702313944697,0.0638706237077713,0.00017161610594484955,219.49594807624817,1000,0.882315
14,1.0463645458221436,1.4563289880752563,0.9844918847084045,0.9607155919075012,1.9844754934310913,0.23859843611717224,0.001598399132490158,0.05366415157914162,0.00016737541591282934,199.2817361354828,1000,0.88307
15,1.0399103164672852,1.4814478158950806,0.9834493398666382,0.9638619422912598,1.9681878089904785,0.23889707028865814,0.0016062234062701464,0.05270351469516754,0.0001629082835279405,206.68396425247192,1000,0.8837
16,1.0284268856048584,1.388227105140686,0.985873281955719,0.961344838142395,1.9514412879943848,0.23583251237869263,0.0015723401447758079,0.045870400965213776,0.00015823236026335508,196.57029128074646,1000,0.88428
17,1.019492745399475,1.3883802890777588,0.9868115782737732,0.9612549543380737,1.9361069202423096,0.2347213178873062,0.001420627231709659,0.03932482376694679,0.00015336608339566737,201.02656841278076,1000,0.88486004
18,1.011904239654541,1.3636497259140015,0.9877238273620605,0.9631427526473999,1.922187328338623,0.23260077834129333,0.0014114793157204986,0.039739251136779785,0.00014832866145297885,195.25624084472656,1000,0.88541996
19,1.0050652027130127,1.3432475328445435,0.9880626797676086,0.9598166346549988,1.909098505973816,0.23188573122024536,0.001375586842186749,0.0362386591732502,0.00014313997235149145,194.21516585350037,1000,0.88585997
20,0.9994643926620483,1.3326603174209595,0.9883493781089783,0.9607155919075012,1.8963980674743652,0.2319280058145523,0.0014425572007894516,0.03388715907931328,0.0001378204906359315,191.74764323234558,1000,0.88625014
21,0.9928669333457947,1.3117188215255737,0.9886621236801147,0.9621539115905762,1.8838509321212769,0.2300349920988083,0.0013715249951928854,0.03524349257349968,0.00013239122927188873,192.1257553100586,1000,0.8865626
22,0.9838926196098328,1.341259479522705,0.9897828698158264,0.9614347219467163,1.8721803426742554,0.22870060801506042,0.000999943818897009,0.023878712207078934,0.00012687357957474887,191.85608553886414,1000,0.886875
23,0.9794785380363464,1.2989915609359741,0.9898871183395386,0.9625135064125061,1.860540747642517,0.22785380482673645,0.0011169699719175696,0.028073018416762352,0.0001212893330375664,191.84659385681152,1000,0.8871875
24,0.9743643403053284,1.301561951637268,0.990434467792511,0.9606256484985352,1.848686933517456,0.22723136842250824,0.0010267415782436728,0.02919560670852661,0.00011566054308786988,192.15822291374207,1000,0.88748
25,0.9711541533470154,1.2978798151016235,0.9905648231506348,0.964311420917511,1.8384506702423096,0.22719724476337433,0.0010954070603474975,0.032774172723293304,0.00011000941594829783,192.12787055969238,1000,0.8876875
26,0.9640437960624695,1.2669997215270996,0.9912164211273193,0.96278315782547,1.828312635421753,0.22553803026676178,0.0009996029548346996,0.02732112817466259,0.0001043582524289377,192.05874848365784,1000,0.88789505
27,0.9616445899009705,1.257574439048767,0.9916595220565796,0.9590075612068176,1.8186743259429932,0.22538065910339355,0.0012319748057052493,0.03345312178134918,9.872935333987698e-05,192.3171103000641,1000,0.88810253
28,0.9564008712768555,1.2835065126419067,0.9916073679924011,0.9619740843772888,1.8094162940979004,0.22501316666603088,0.001122674555517733,0.028914928436279297,9.314492490375414e-05,191.9407958984375,1000,0.8883101
29,0.9511159062385559,1.253779411315918,0.9925717115402222,0.9598166346549988,1.8004469871520996,0.22397994995117188,0.001058384426869452,0.026349028572440147,8.76270278240554e-05,191.93019890785217,1000,0.8885175
30,0.9486855268478394,1.230087161064148,0.9920765161514282,0.9616145491600037,1.7932250499725342,0.2244168370962143,0.0010967757552862167,0.02637910656630993,8.219743176596239e-05,192.33319807052612,1000,0.88872504
31,0.9444980621337891,1.2556536197662354,0.9928584694862366,0.9651204347610474,1.7855452299118042,0.22335664927959442,0.0010440420592203736,0.02622883953154087,7.687753532081842e-05,192.1528136730194,1000,0.88893247
32,0.9415003657341003,1.2338093519210815,0.9933536648750305,0.9609852433204651,1.7784112691879272,0.22317303717136383,0.00111061439383775,0.02629747800529003,7.16883732820861e-05,192.57354712486267,1000,0.88914007
33,0.9397331476211548,1.225029706954956,0.993405818939209,0.9605357646942139,1.7712312936782837,0.22305379807949066,0.0012286187848076224,0.031029485166072845,6.665042747044936e-05,191.81377029418945,1000,0.88934755
34,0.9361627101898193,1.2373592853546143,0.9941355586051941,0.9635023474693298,1.7649027109146118,0.22187532484531403,0.0012603807263076305,0.031541697680950165,6.178352487040684e-05,192.22959661483765,1000,0.88955504
35,0.9335236549377441,1.2257111072540283,0.9938228130340576,0.9610751271247864,1.7598152160644531,0.2220984846353531,0.0011614593677222729,0.02836558409035206,5.7106946769636124e-05,191.9489483833313,1000,0.8897626
36,0.932354748249054,1.2246904373168945,0.9937967658042908,0.9622437953948975,1.7543587684631348,0.22271151840686798,0.0012226810213178396,0.029885228723287582,5.263909406494349e-05,192.23619771003723,1000,0.88997
37,0.9311520457267761,1.2353894710540771,0.9946308135986328,0.9630528688430786,1.7494953870773315,0.22160221636295319,0.0014075274812057614,0.03703382611274719,4.8397621867479756e-05,192.3421392440796,1000,0.89017755
38,0.9302834868431091,1.2505748271942139,0.9945265650749207,0.9630528688430786,1.744714379310608,0.22182640433311462,0.0014638655120506883,0.040233150124549866,4.439927215571515e-05,192.65382957458496,1000,0.8903851
39,0.9270235300064087,1.2446492910385132,0.9950217604637146,0.9617943167686462,1.7402132749557495,0.22154517471790314,0.0013346445048227906,0.03570440039038658,4.065980829182081e-05,192.5359616279602,1000,0.8905926
40,0.9275298118591309,1.2181962728500366,0.9946308135986328,0.9608054757118225,1.7368611097335815,0.22163711488246918,0.0014759055338799953,0.04252517223358154,3.719400774571113e-05,192.80613470077515,1000,0.8908001
41,0.9259187579154968,1.227054238319397,0.9945786595344543,0.9634124636650085,1.7333495616912842,0.22230778634548187,0.0013682589633390307,0.03916873782873154,3.401553112780675e-05,192.63670229911804,1000,0.8909451
42,0.9231062531471252,1.2101528644561768,0.9949175119400024,0.9611650705337524,1.7294167280197144,0.22159640491008759,0.001322695054113865,0.03712212294340134,3.1136944016907364e-05,192.50063586235046,1000,0.8910901
43,0.9210553765296936,1.2327481508255005,0.994865357875824,0.9634124636650085,1.725965142250061,0.22174997627735138,0.0012302652467042208,0.033957358449697495,2.8569573260028847e-05,192.55822467803955,1000,0.8912351
44,0.9209389090538025,1.2084980010986328,0.9952302575111389,0.9626033902168274,1.7229838371276855,0.22170498967170715,0.001346802688203752,0.03827692195773125,2.6323585188947618e-05,192.216881275177,1000,0.89138
45,0.9184815287590027,1.2050349712371826,0.9955430626869202,0.9608953595161438,1.7209478616714478,0.22155405580997467,0.0011875380296260118,0.03253034129738808,2.440782373014372e-05,192.27494525909424,1000,0.89152503
46,0.9194989800453186,1.2019281387329102,0.9949435591697693,0.9607155919075012,1.7178092002868652,0.2222139984369278,0.0013432827545329928,0.038764163851737976,2.2829857698525302e-05,192.4610297679901,1000,0.89167005
47,0.9174147248268127,1.2037935256958008,0.9955169558525085,0.9628730416297913,1.7159216403961182,0.22181788086891174,0.0012497131247073412,0.035163894295692444,2.1595913494820707e-05,192.62064790725708,1000,0.89181507
48,0.915192186832428,1.2218847274780273,0.9951781630516052,0.9631427526473999,1.713049054145813,0.22182942926883698,0.0011419050861150026,0.030973641201853752,2.0710855096695013e-05,191.87268614768982,1000,0.8919601
49,0.9169657230377197,1.2122267484664917,0.9950739145278931,0.964311420917511,1.7122039794921875,0.22174309194087982,0.0013840235769748688,0.03942596912384033,2.0178184058750048e-05,192.24003219604492,1000,0.8921051
50,0.9163707494735718,1.2132859230041504,0.9953345060348511,0.96242356300354,1.7100815773010254,0.22149905562400818,0.0014720770996063948,0.04129461944103241,1.9999999494757503e-05,192.12267017364502,1000,0.89225006
51,0.9205631613731384,1.388385534286499,0.9932233691215515,0.9601761698722839,1.7247962951660156,0.22010904550552368,0.0014151751529425383,0.04016443341970444,0.0001819601602619514,192.86101770401,1000,0.892395
52,0.9155524969100952,1.2946436405181885,0.9922589659690857,0.9605357646942139,1.713297963142395,0.22140423953533173,0.001257537049241364,0.03355361521244049,0.00018184042710345238,192.47158551216125,1000,0.89254004
53,0.9090477228164673,1.3132388591766357,0.9928063154220581,0.9638619422912598,1.69980788230896,0.22103889286518097,0.0012031372170895338,0.030658213421702385,0.00018164090579375625,192.26775598526,1000,0.89268506
54,0.9029032588005066,1.3153038024902344,0.9926238656044006,0.9635922312736511,1.6862950325012207,0.22066304087638855,0.0011688078520819545,0.029254062101244926,0.0001813618146115914,192.88426971435547,1000,0.8928301
55,0.8966978192329407,1.2365634441375732,0.992337167263031,0.9564904570579529,1.672430396080017,0.22076113522052765,0.001089381636120379,0.026329105719923973,0.00018100341549143195,192.08436679840088,1000,0.89297503
56,0.8899528980255127,1.2392739057540894,0.9933797121047974,0.9567601680755615,1.6597508192062378,0.21910278499126434,0.0010747977066785097,0.026294799521565437,0.00018056605767924339,192.65722918510437,1000,0.89312
57,0.8841705322265625,1.241379737854004,0.9937706589698792,0.9584681987762451,1.6462422609329224,0.21889664232730865,0.0010774775873869658,0.02559974230825901,0.00018005017773248255,192.4568042755127,1000,0.893265
58,0.8785187602043152,1.2335681915283203,0.993536114692688,0.9603559970855713,1.6329290866851807,0.21862182021141052,0.0010354488622397184,0.02545219287276268,0.00017945627041626722,192.32625031471252,1000,0.89341
59,0.8726045489311218,1.2204241752624512,0.9942137598991394,0.9570298194885254,1.6211292743682861,0.2179737091064453,0.0009273979812860489,0.02341855689883232,0.0001787849614629522,192.62381982803345,1000,0.89354753
60,0.8689795136451721,1.1985493898391724,0.9935621619224548,0.9614347219467163,1.609052300453186,0.21866022050380707,0.001021306263282895,0.025365455076098442,0.0001780368766048923,192.7089741230011,1000,0.8936501
61,0.8616732954978943,1.2207074165344238,0.9937706589698792,0.9597266912460327,1.5947785377502441,0.2176109254360199,0.0009486114722676575,0.02327529340982437,0.00017721277254167944,192.37834334373474,1000,0.8937526
62,0.8588263988494873,1.1712967157363892,0.9937185645103455,0.958378255367279,1.5841832160949707,0.2179701179265976,0.001063577481545508,0.027243448421359062,0.00017631344962865114,192.17270350456238,1000,0.8938551
63,0.8518581390380859,1.19331693649292,0.9948914647102356,0.9618842005729675,1.5710701942443848,0.2164875566959381,0.0010876358719542623,0.02624576725065708,0.00017533979553263634,192.5880196094513,1000,0.8939575
64,0.8472074270248413,1.1715965270996094,0.9944744110107422,0.9631427526473999,1.5603365898132324,0.21647270023822784,0.001038720365613699,0.024945581331849098,0.00017429278523195535,192.41580843925476,1000,0.8940601
65,0.8422254920005798,1.1581951379776,0.9944483637809753,0.9593671560287476,1.548520803451538,0.21664515137672424,0.000982737517915666,0.023311549797654152,0.00017317345191258937,192.27446699142456,1000,0.89416254
66,0.8377798795700073,1.1640148162841797,0.9943441152572632,0.958378255367279,1.537176251411438,0.21648532152175903,0.0010097939521074295,0.02428342029452324,0.0001719828724162653,192.70295906066895,1000,0.894265
67,0.8334936499595642,1.1530816555023193,0.9951520562171936,0.9623336791992188,1.5280457735061646,0.2153521180152893,0.0010477687465026975,0.026225710287690163,0.00017072225455194712,192.47592043876648,1000,0.8943551
68,0.8280789852142334,1.1658811569213867,0.9951520562171936,0.9612549543380737,1.5175330638885498,0.2151428759098053,0.0009598563192412257,0.022345123812556267,0.0001693928352324292,192.47190761566162,1000,0.89442
69,0.8244886994361877,1.1624771356582642,0.9951260089874268,0.9592772126197815,1.506749153137207,0.21528320014476776,0.0010179217206314206,0.024601096287369728,0.0001679959095781669,192.23183226585388,1000,0.89448506
