epoch,train_loss,val_loss,train_accuracy,val_accuracy,reconstruction_loss,classification_loss,mmd_loss,wasserstein_loss,learning_rate,epoch_time,high_quality_regions,average_latent_score
1,1.6093767881393433,2.7129483222961426,0.9390361309051514,0.929701566696167,2.397061347961426,0.3517824411392212,0.03795147314667702,1.1419503688812256,0.0001998230000026524,203.65080285072327,1000,0.83839494
2,1.4202969074249268,2.2867157459259033,0.9586102366447449,0.9464221596717834,2.2556400299072266,0.2844783663749695,0.020294880494475365,0.9058348536491394,0.00019929150585085154,199.0134093761444,1000,0.85381
3,1.380551815032959,1.8283188343048096,0.9648656249046326,0.9447141289710999,2.229348659515381,0.2748485207557678,0.01724427565932274,0.8317143321037292,0.0001984076079679653,195.19247436523438,1000,0.8611175
4,1.334715723991394,1.727866530418396,0.9691401720046997,0.946961522102356,2.2092349529266357,0.26800671219825745,0.01408800482749939,0.712340772151947,0.00019717482791747898,191.43572187423706,1000,0.86583006
5,1.3012349605560303,1.5529229640960693,0.97258061170578,0.9470514059066772,2.1794700622558594,0.26156818866729736,0.012573976069688797,0.6539130210876465,0.00019559799693524837,192.21975302696228,1000,0.86933744
6,1.2567888498306274,1.5696113109588623,0.9739880561828613,0.9504674673080444,2.1510252952575684,0.2577195465564728,0.010278378613293171,0.5402517318725586,0.00019368334324099123,194.69246411323547,1000,0.87182504
7,1.1999655961990356,1.5747047662734985,0.9752391576766968,0.9493886828422546,2.1289374828338623,0.25436151027679443,0.007035844959318638,0.36626869440078735,0.00019143844838254154,192.47242069244385,1000,0.87393
8,1.168672800064087,1.424668312072754,0.9768811464309692,0.956220805644989,2.109004497528076,0.2509267032146454,0.00551288528367877,0.2888580560684204,0.00018887213082052767,191.55367636680603,1000,0.87576
9,1.1450974941253662,1.4668399095535278,0.9776370525360107,0.9477705955505371,2.0900185108184814,0.24939386546611786,0.004581041168421507,0.23237203061580658,0.00018599454779177904,189.9356074333191,1000,0.87733006
10,1.1231679916381836,1.4639052152633667,0.9795657992362976,0.9537935853004456,2.07379412651062,0.24717651307582855,0.003852421883493662,0.1805030256509781,0.00018281707889400423,190.57244277000427,1000,0.8787001
11,1.1075074672698975,1.3725464344024658,0.9799306988716125,0.9564005732536316,2.0567619800567627,0.24627840518951416,0.0034227482974529266,0.14930495619773865,0.00017935219511855394,190.4204912185669,1000,0.879875
12,1.0908228158950806,1.3873952627182007,0.9810514450073242,0.9575692415237427,2.0425491333007812,0.244580939412117,0.0028495443984866142,0.11290012300014496,0.00017561361892148852,189.3382923603058,1000,0.88100004
13,1.0794419050216675,1.3855905532836914,0.9812077879905701,0.9567601680755615,2.029369354248047,0.24250760674476624,0.002445911057293415,0.0973251610994339,0.00017161610594484955,191.23824644088745,1000,0.88196003
