epoch,train_loss,val_loss,train_accuracy,val_accuracy,reconstruction_loss,classification_loss,mmd_loss,wasserstein_loss,learning_rate,epoch_time,high_quality_regions,average_latent_score
1,1.6252211332321167,3.089179277420044,0.9376547336578369,0.9292520880699158,2.3996481895446777,0.3609953820705414,0.0383058600127697,1.1638323068618774,0.0001998230000026524,206.24969100952148,1000,0.841655
2,1.4514111280441284,3.1604456901550293,0.9574894905090332,0.9500179886817932,2.253039598464966,0.2882780432701111,0.02345755696296692,1.0148253440856934,0.00019929150585085154,197.5315797328949,1000,0.85758996
3,1.4340473413467407,2.402719497680664,0.9610602855682373,0.9533441066741943,2.2222113609313965,0.280337393283844,0.021543920040130615,1.029138445854187,0.0001984076079679653,197.0334987640381,1000,0.8649825
4,1.3674272298812866,2.273794412612915,0.9677326679229736,0.958378255367279,2.1995534896850586,0.26985952258110046,0.01662931963801384,0.8477075695991516,0.00019717482791747898,197.4849796295166,1000,0.86958
5,1.2726035118103027,1.8383491039276123,0.9699742197990417,0.954692542552948,2.1700706481933594,0.26304304599761963,0.01029454916715622,0.5517191290855408,0.00019559799693524837,197.6322946548462,1000,0.8728626
6,1.2258124351501465,1.6450183391571045,0.9731279611587524,0.9558612108230591,2.1378252506256104,0.2577694058418274,0.00824336614459753,0.44011473655700684,0.00019368334324099123,197.66097497940063,1000,0.875445
7,1.1898831129074097,1.515555739402771,0.9755779504776001,0.9574792981147766,2.118798017501831,0.25554296374320984,0.006330578587949276,0.33842217922210693,0.00019143844838254154,197.6483018398285,1000,0.87735504
8,1.167541265487671,1.5575377941131592,0.9745614528656006,0.9539734125137329,2.1045444011688232,0.25524911284446716,0.005450050812214613,0.2742632329463959,0.00018887213082052767,197.45118260383606,1000,0.87894005
9,1.1395065784454346,1.599047303199768,0.9766986966133118,0.9594570398330688,2.089082956314087,0.25153598189353943,0.004403457045555115,0.20318588614463806,0.00018599454779177904,195.81995463371277,1000,0.88026
10,1.1187657117843628,1.5078742504119873,0.9786013960838318,0.9572096467018127,2.0748300552368164,0.24817822873592377,0.0037277464289218187,0.15740278363227844,0.00018281707889400423,192.3815622329712,1000,0.88140005
